unite;V;Past;Part	united	no	637.1520869581568
look;V;Inf	look	no	739.287265913869
experience;V;Inf	experience	no	763.6484214324714
focus;V;Inf	focus	no	768.7188132093993
have;V;Inf	have	no	731.200823433802
involve;V;Ger	involving	no	782.6886557749036
make;V;Ger	making	no	754.5129881129955
take;V;Fin;3	takes	no	759.0031214749035
explore;V;Ger	exploring	no	785.3668958687415
inform;V;Inf	inform	no	774.6426212624565
describe;V;Fin;3	describes	no	789.1216042199699
focus;V;Ger	focusing	no	785.2181945479008
preserve;V;Past;Part	preserved	no	787.870573542462
build;V;Past;Part	built	no	766.3573715817004
focus;V;Past;Part	focused	no	777.9269808705908
complete;V;Past;Part	completed	no	778.1387186209183
report;V;Inf	report	no	759.5866125273329
provide;V;Past;Part	provided	no	776.3332906276673
view;V;Ger	viewing	no	787.0591815526572
assess;V;Inf	assess	no	788.9518907559668
write;V;Past;Part	written	no	765.8789412450824
discuss;V;Inf	discuss	no	765.6267955271351
bring;V;Fin;3	brings	no	767.471015169301
establish;V;Past;Part	established	no	777.7217083950824
explore;V;Inf	explore	no	779.6079523235729
use;V;Ger	using	no	762.7287360894456
develop;V;Fin;3	develops	no	790.8607631463244
regard;V;Ger	regarding	no	777.4404689404488
gather;V;Fin;3	gathers	no	794.5201086939701
intersperse;V;Past;Part	interspersed	no	812.343255051695
call;V;Past;Part	called	no	751.5373453774762
determine;V;Past;Part	determined	no	774.3549165330038
study;V;Ger	studying	no	771.6491990211845
offer;V;Fin;3	offers	no	778.2841873043495
depend;V;Inf	depend	no	776.3607680456488
highlight;V;Past;Part	highlighted	no	820.0547115922506
transform;V;Inf	transform	no	786.8700722641967
understand;V;Inf	understand	no	749.0821572648994
see;V;Inf	see	no	737.3751608861018
have;V;Fin;3	has	no	743.082382232717
understand;V;Past;Part	understood	no	768.0932978706453
use;V;Ind;Past	used	no	751.4532968048271
be;V;Inf	are	no	732.380736088299
investigate;V;Inf	investigate	no	776.659787006035
evaluate;V;Past;Part	evaluated	no	795.7274987664487
encourage;V;Past;Part	encouraged	no	784.0447471682229
approach;V;Inf	approach	no	771.0834874745078
investigate;V;Ind;Past	investigated	no	784.3421498099043
provide;V;Fin;3	provides	no	785.4671076284385
offer;V;Inf	offer	no	762.1743387737025
play;V;Inf	play	no	751.2447916919091
determine;V;Ger	determining	no	792.0536063504599
establish;V;Inf	establish	no	779.4770305084849
influence;V;Past;Part	influenced	no	787.1884870490404
include;V;Ger	including	no	769.1729987654454
show;V;Fin;3	shows	no	766.2975677896231
lead;V;Inf	lead	no	761.4130526637462
improve;V;Past;Part	improved	no	781.8514026858221
pair;V;Ger	pairing	no	820.0547115922506
complement;V;Inf	complement	no	794.1596696228019
augment;V;Inf	augment	no	799.0264052429261
show;V;Past;Part	shown	no	773.8328455913564
produce;V;Inf	produce	no	775.5736208364158
facilitate;V;Inf	facilitate	no	792.4544533892479
quantify;V;Ger	quantifying	no	820.0547115922506
remain;V;Fin;3	remains	no	772.3749261196353
measure;V;Ger	measuring	no	786.0505986808679
expand;V;Ger	expanding	no	787.6588357921344
understand;V;Ger	understanding	no	770.7828521954167
conduct;V;Past;Part	conducted	no	784.2564849185504
enhance;V;Past;Part	enhanced	no	792.5934567978599
be;V;Fin;3	is	no	728.5322812521929
define;V;Inf	define	no	779.5853238617059
vary;V;Inf	vary	no	792.8811615273125
organize;V;Past;Part	organized	no	776.1554955701404
approximate;V;Fin;3	approximates	no	820.0547115922506
lack;V;Inf	lack	no	772.2585511728905
encompass;V;Ger	encompassing	no	820.0547115922506
distribute;V;Past;Part	distributed	no	790.4356713269646
base;V;Past;Part	based	no	769.4170628898688
assemble;V;Ger	assembling	no	793.8186263760911
tend;V;Past;Part	tended	no	792.3186826180455
avoid;V;Inf	avoid	no	770.055508778261
assemble;V;Ind;Past	assembled	no	784.652483001224
shed;V;Past;Part	shed	no	775.6221103975595
evolve;V;Ger	evolving	no	791.4313236491155
change;V;Ger	changing	no	769.5108093747466
document;V;Fin;3	documents	no	776.7325213477505
provide;V;Inf	provide	no	772.3910893066833
suffer;V;Inf	suffer	no	770.5905102695467
inject;V;Inf	inject	no	786.2186958261661
make;V;Inf	make	no	741.6648707286158
wash;V;Past;Part	washed	no	773.8813351525001
mask;V;Ger	masking	no	799.3852279953895
present;V;Inf	present	no	760.9087612278515
assemble;V;Inf	assemble	no	784.2564849185504
adapt;V;Past;Part	adapted	no	791.6737714548341
collect;V;Ger	collecting	no	778.9339474236752
require;V;Past;Part	required	no	775.7869749054481
do;V;Inf	do	no	731.231533489193
provide;V;Ger	providing	no	782.6547130821031
have;V;Ger	having	no	752.6720011082391
rely;V;Inf	rely	no	778.6009857704885
study;V;Inf	study	no	765.1273530473547
change;V;Fin;3	changes	no	768.8044781007532
evaluate;V;Ger	evaluating	no	798.6837456775105
mean;V;Past;Part	meant	no	759.8355256078706
broaden;V;Inf	broaden	no	792.4544533892479
improve;V;Inf	improve	no	777.7556510878829
apply;V;Past;Part	applied	no	779.6742213904694
elucidate;V;Inf	elucidate	no	806.395202218066
relate;V;Inf	relate	no	781.4958125707682
benefit;V;Inf	benefit	no	773.7455643812978
recollect;V;Past;Part	recollected	no	810.3228566707069
follow;V;Fin;3	follows	no	778.5072392856106
begin;V;Inf	begin	no	764.0751295705361
detail;V;Ger	detailing	no	820.0547115922506
demonstrate;V;Fin;3	demonstrates	no	796.4176668533942
compare;V;Ger	comparing	no	786.8700722641967
curate;V;Past;Part	curated	no	820.0547115922506
